state,pollster,sponsor,start.date,end.date,entry.date.time..et.,number.of.observations,population,mode,biden,trump,biden_margin,other,undecided,url,include,notes
MO,Garin-Hart-Yang Research Group,,9/28/2020,10/2/2020,10/7/2020 11:06:00,600,lv,Live Phone,48,50,-2,,,https://static1.squarespace.com/static/59015f4b37c581b2ce01e5b3/t/5f7da30aae0dc50f899426db/1602069258463/Garin+Hart+Yang+Recent+MO+statewide+survey+Memo_FINAL.pdf,TRUE,
--,YouGov,Economist,10/4/2020,10/6/2020,10/7/2020 8:55:00,1364,lv,Online,51,42,9,,,https://today.yougov.com/topics/economist/survey-results,TRUE,
TX,Civiqs,,10/3/2020,10/6/2020,10/7/2020 8:55:00,895,lv,Online,48,48,0,,,https://civiqs.com/documents/Civiqs_DailyKos_TX_banner_book_2020_10_cm5k3s.pdf,TRUE,
IA,Civiqs,,10/3/2020,10/6/2020,10/7/2020 8:55:00,756,lv,Online,48,47,1,,,https://civiqs.com/documents/Civiqs_DailyKos_IA_banner_book_2020_10_u43b2l.pdf,TRUE,
MD,Change Research,,9/29/2020,10/1/2020,10/7/2020 8:55:00,650,rv,Online,61,32,29,,,https://www.marylandmatters.org/2020/10/07/forget-the-2020-election-here-are-some-early-poll-results-on-2022/,TRUE,
WV,Triton Poling & Research,WMOV Radio,9/29/2020,9/30/2020,10/7/2020 8:55:00,525,rv,Online,38,56,-18,,,https://www.wowktv.com/news/elections/poll-shows-incumbents-leading-races-for-surveyed-wv-voters/,TRUE,
--,Franklin Pierce University,Boston Herald,9/30/2020,10/4/2020,10/6/2020 16:38:00,1003,lv,Live Phone/Online,51,37,14,,,https://www.bostonherald.com/2020/10/06/trump-support-craters-after-contracting-coronavirus-new-fpu-herald-poll-reveals/,TRUE,
--,Ipsos,Reuters,10/2/2020,10/6/2020,10/6/2020 16:38:00,882,lv,Online,52,40,12,2,,https://projects.fivethirtyeight.com/polls/20201006_Nat_Ipsos.pdf,TRUE,
AK,Alaska Survey Research,,9/25/2020,10/4/2020,10/6/2020 16:38:00,676,lv,Live Phone,46,50,-4,,,https://twitter.com/IvanMoore1/status/1313648391750971393?s=20,TRUE,
NC,East Carolina University,,10/2/2020,10/4/2020,10/6/2020 15:38:00,1232,lv,Online,50,47,3,,,https://surveyresearch-ecu.reportablenews.com/pr/ecu-poll-of-likely-voters-in-north-carolina-biden-leads-trump-by-four-points-tillis-leads-cunningham-by-one-cooper-leads-forest-by-thirteen-points-other-statewide-races-competitive,TRUE,
MI,Ipsos,Reuters,9/29/2020,10/6/2020,10/6/2020 15:38:00,709,lv,Online,51,43,8,,,https://www.devdiscourse.com/article/politics/1241692-poll-reutersipsos-poll-shows-biden-widening-lead-over-trump-in-michigan-tied-in-north-carolina,TRUE,
PA,Ipsos,Reuters,9/29/2020,10/5/2020,10/6/2020 15:38:00,605,lv,Online,50,45,5,,,https://www.reuters.com/article/us-usa-election-battlegrounds-poll/reuters-ipsos-poll-shows-biden-leading-in-pennsylvania-wisconsin-idUSKBN26Q2ZT,TRUE,
NC,Ipsos,Reuters,9/29/2020,10/6/2020,10/6/2020 15:38:00,601,lv,Online,47,47,0,,,https://www.devdiscourse.com/article/politics/1241692-poll-reutersipsos-poll-shows-biden-widening-lead-over-trump-in-michigan-tied-in-north-carolina,TRUE,
WI,Ipsos,Reuters,9/29/2020,10/5/2020,10/6/2020 15:38:00,601,lv,Online,50,44,6,,,https://www.reuters.com/article/us-usa-election-battlegrounds-poll/reuters-ipsos-poll-shows-biden-leading-in-pennsylvania-wisconsin-idUSKBN26Q2ZT,TRUE,
ME,Critical Insights,,9/25/2020,10/4/2020,10/6/2020 15:38:00,466,lv,Live Phone,51,40,11,4,,https://drive.google.com/file/d/1rgOpdiCIcbEBjnt2pVvQO7ztkbfsNB90/view,TRUE,
--,Redfield & Wilton Strategies,,10/3/2020,10/4/2020,10/6/2020 13:38:00,2127,lv,Online,50,42,8,2,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-october-3-4/?utm_source=rss&utm_medium=rss&utm_campaign=latest-usa-voting-intention-october-3-4,TRUE,
--,SurveyUSA,,10/1/2020,10/4/2020,10/6/2020 13:38:00,1114,lv,Online,53,43,10,,,http://www.surveyusa.com/client/PollReport.aspx?g=5c55fb27-997d-4bec-aa2c-ceb365f9f0bf,TRUE,
WI,Change Research,,10/2/2020,10/4/2020,10/6/2020 13:38:00,586,lv,Online,51,44,7,,,https://changeresearch.com/post/states-of-play-battleground-wave-15/,TRUE,
PA,Change Research,,10/2/2020,10/4/2020,10/6/2020 13:38:00,586,lv,Online,50,46,4,,,https://changeresearch.com/post/states-of-play-battleground-wave-15/,TRUE,
NC,Change Research,,10/2/2020,10/4/2020,10/6/2020 13:38:00,586,lv,Online,49,47,2,,,https://changeresearch.com/post/states-of-play-battleground-wave-15/,TRUE,
MI,Change Research,,10/2/2020,10/4/2020,10/6/2020 13:38:00,586,lv,Online,51,43,8,,,https://changeresearch.com/post/states-of-play-battleground-wave-15/,TRUE,
FL,Change Research,,10/2/2020,10/4/2020,10/6/2020 13:38:00,586,lv,Online,50,46,4,,,https://changeresearch.com/post/states-of-play-battleground-wave-15/,TRUE,
AZ,Change Research,,10/2/2020,10/4/2020,10/6/2020 13:38:00,586,lv,Online,51,45,6,,,https://changeresearch.com/post/states-of-play-battleground-wave-15/,TRUE,
PA,Monmouth University,,9/30/2020,10/4/2020,10/6/2020 11:01:00,500,lv,Live Phone,54,44,10,,,https://www.monmouth.edu/polling-institute/documents/monmouthpoll_pa_100620.pdf/,TRUE,average of LV filters
FL,University of North Florida,,10/1/2020,10/4/2020,10/6/2020 8:01:00,3142,lv,Live Phone,51,45,6,,,https://www.unf.edu/uploadedFiles/aa/coas/porl/UNF%20PORL%20Statewide%20October%20Press%20Release.pdf,TRUE,
--,SSRS,CNN,10/1/2020,10/4/2020,10/6/2020 8:01:00,1001,lv,Live Phone,57,41,16,,,http://cdn.cnn.com/cnn/2020/images/10/06/rel12b.-.2020.pdf,TRUE,
NM,Public Policy Polling,,9/30/2020,10/1/2020,10/6/2020 8:01:00,887,rv,IVR,53,39,14,,,https://nmpoliticalreport.com/2020/10/06/biden-with-leads-trump-by-14-points-in-nm/,TRUE,
AZ,Strategies 360,,9/24/2020,9/29/2020,10/6/2020 8:01:00,800,lv,Live Phone/Online,49,45,4,,,https://www.scribd.com/document/478170479/Arizona-Marijuana-Poll#from_embed,TRUE,
FL,Suffolk University,,10/1/2020,10/4/2020,10/6/2020 8:01:00,500,lv,Live Phone,45,45,0,3,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2020/10_6_2020_tables_pdftxt.pdf?la=en&hash=8AB56F300AF4E074BA7417027FC2A750177E88D5,TRUE,
UT,Y2 Analytics,,9/26/2020,10/4/2020,10/5/2020 14:01:00,1215,lv,Online,40,50,-10,,,https://www.sltrib.com/news/politics/2020/10/05/new-utah-poll-has-trump/,TRUE,
NC,Public Policy Polling,,10/4/2020,10/5/2020,10/5/2020 14:01:00,911,rv,IVR,50,46,4,,,https://www.publicpolicypolling.com/wp-content/uploads/2020/10/NorthCarolinaResultsOctober2020.pdf,TRUE,
--,Morning Consult,,10/2/2020,10/3/2020,10/5/2020 13:01:00,15478,lv,Online,52,43,9,,,https://morningconsult.com/form/2020-u-s-election-tracker/,TRUE,
--,Pollfish,Socioanalítica Research,9/8/2020,9/10/2020,10/5/2020 13:01:00,2019,a,Online,53,45,8,,,https://drive.google.com/file/d/1NeeREerHPtZZGfYgAGvNLW_eAlt_HC8L/view,TRUE,
OH,Trafalgar Group,,10/1/2020,10/3/2020,10/5/2020 13:01:00,1035,lv,IVR,44,48,-4,4,,https://drive.google.com/file/d/1Pbgf-ZdTuO5jKANMpQaJfPje6LUT2hNc/view,TRUE,
DE,University of Delaware,,9/21/2020,9/27/2020,10/5/2020 13:01:00,847,lv,Live Phone,54,33,21,,,https://www.udel.edu/udaily/2020/october/poll--democrats-lead-by-big-margins-in-delaware/,TRUE,
AZ,NYT/Siena College,,10/1/2020,10/3/2020,10/5/2020 13:01:00,655,lv,Live Phone,49,41,8,3,,https://int.nyt.com/data/documenttools/az100120-crosstabs/a77605c32cd8f31e/full.pdf,TRUE,
--,USC Dornsife,,9/21/2020,10/4/2020,10/5/2020 8:42:00,4836,lv,Online,53,42,11,,,https://election.usc.edu/,TRUE,
--,YouGov,Yahoo,10/1/2020,10/2/2020,10/4/2020 15:12:00,1345,lv,Online,48,40,8,,,https://docs.cdn.yougov.com/qmlxn6ghki/20201002_yahoo_coronavirus_tabs.pdf,TRUE,
--,YouGov,Yahoo,10/2/2020,10/3/2020,10/4/2020 15:12:00,1088,lv,Online,51,43,8,,,https://docs.cdn.yougov.com/y0zw7c7mm7/20201003_yahoo_coronavirus_tabs.pdf,TRUE,
PA,YouGov,CBS News,9/30/2020,10/2/2020,10/4/2020 10:49:00,1187,lv,Online,51,44,7,,,https://drive.google.com/file/d/1hSdIHlv2MgUGngDTUCG4UK2D_11Asbfk/view,TRUE,
OH,YouGov,CBS News,9/30/2020,10/2/2020,10/4/2020 10:49:00,1114,lv,Online,47,47,0,,,https://drive.google.com/file/d/1zlfkGVj_8gdcyNPvQ5hTCDtpZXkJDyxB/view,TRUE,
--,NBC News/Wall Street Journal,,9/30/2020,10/1/2020,10/4/2020 9:18:00,800,rv,Live Phone,53,39,14,,,https://www.nbcnews.com/politics/meet-the-press/biden-s-national-lead-over-trump-jumps-14-points-after-n1242018,TRUE,
--,Ipsos,Reuters,10/2/2020,10/3/2020,10/4/2020 9:18:00,596,lv,Online,51,41,10,,,https://www.reuters.com/article/usa-election-poll-idUSKBN26P0DT,TRUE,
MO,Remington Research Group,,9/30/2020,10/1/2020,10/3/2020 12:12:00,980,lv,Online,46,51,-5,,,https://moscout.com/s/MOSCOUT-Statewide-General-Election-Survey-Deck-100220.pptx,TRUE,
FL,NYT/Siena College,,9/30/2020,10/1/2020,10/3/2020 12:12:00,719,lv,Live Phone,47,42,5,3,,https://int.nyt.com/data/documenttools/flpa-0930-crosstabs/16c21b7ab34ed4d1/full.pdf,TRUE,
PA,NYT/Siena College,,9/30/2020,10/1/2020,10/3/2020 12:12:00,706,lv,Live Phone,49,42,7,3,,https://int.nyt.com/data/documenttools/flpa-0930-crosstabs/16c21b7ab34ed4d1/full.pdf,TRUE,
--,Data for Progress,,9/30/2020,10/1/2020,10/2/2020 16:39:00,1146,lv,Online,51,41,10,,,https://www.dataforprogress.org/blog/2020/10/2/joe-biden-maintains-a-commanding-lead-in-the-presidential-race,TRUE,
--,Ipsos,Reuters,9/29/2020,10/1/2020,10/2/2020 16:39:00,882,lv,Online,50,41,9,,,https://fingfx.thomsonreuters.com/gfx/mkt/azgvoaekovd/Topline%20Reuters%20General%20Election%20Tracker%2010%2001%202020.pdf,TRUE,
TX,Hart Research Associates,,9/24/2020,9/27/2020,10/2/2020 16:39:00,400,lv,Live Phone,47,49,-2,,,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/ME-13067-HRC-Issues-10-State-1.pdf?mtime=20201002132812&focal=none,TRUE,
OH,Hart Research Associates,,9/24/2020,9/27/2020,10/2/2020 16:39:00,400,lv,Live Phone,47,49,-2,,,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/ME-13067-HRC-Issues-10-State-1.pdf?mtime=20201002132812&focal=none,TRUE,
NC,Hart Research Associates,,9/24/2020,9/27/2020,10/2/2020 16:39:00,400,lv,Live Phone,49,47,2,,,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/ME-13067-HRC-Issues-10-State-1.pdf?mtime=20201002132812&focal=none,TRUE,
IA,Hart Research Associates,,9/24/2020,9/27/2020,10/2/2020 16:39:00,400,lv,Live Phone,47,49,-2,,,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/ME-13067-HRC-Issues-10-State-1.pdf?mtime=20201002132812&focal=none,TRUE,
GA,Hart Research Associates,,9/24/2020,9/27/2020,10/2/2020 16:39:00,400,lv,Live Phone,50,47,3,,,https://hrc-prod-requests.s3-us-west-2.amazonaws.com/ME-13067-HRC-Issues-10-State-1.pdf?mtime=20201002132812&focal=none,TRUE,
NC,Redfield & Wilton Strategies,,9/23/2020,9/25/2020,10/2/2020 13:39:00,1097,lv,Online,47,45,2,2,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-23-27-september/,TRUE,
FL,Redfield & Wilton Strategies,,9/23/2020,9/25/2020,10/2/2020 13:39:00,1073,lv,Online,48,43,5,2,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-23-27-september/,TRUE,
--,IBD/TIPP,,9/30/2020,10/1/2020,10/2/2020 13:39:00,1021,lv,Online,49,46,3,,,https://www.investors.com/news/joe-biden-lead-over-donald-trump-narrows-after-presidential-debate-ibd-tipp-poll/,TRUE,
PA,Redfield & Wilton Strategies,,9/23/2020,9/25/2020,10/2/2020 13:39:00,1015,lv,Online,50,44,6,,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-23-27-september/,TRUE,
--,Global Strategy Group,,9/26/2020,9/28/2020,10/2/2020 13:39:00,1002,rv,Online,53,43,10,,,https://navigatorresearch.org/wp-content/uploads/2020/10/Navigator-Full-Topline-09.29.2020.pdf,TRUE,
AZ,Redfield & Wilton Strategies,,9/23/2020,9/25/2020,10/2/2020 13:39:00,871,lv,Online,47,44,3,2,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-23-27-september/,TRUE,
MI,Redfield & Wilton Strategies,,9/23/2020,9/25/2020,10/2/2020 13:39:00,785,lv,Online,51,42,9,1,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-23-27-september/,TRUE,
MI,Public Policy Polling,,9/30/2020,10/1/2020,10/2/2020 13:39:00,746,rv,IVR,50,44,6,3,,https://progressmichigan.org/wp-content/uploads/2020/10/MichiganResults-October.pdf,TRUE,
WI,Redfield & Wilton Strategies,,9/23/2020,9/25/2020,10/2/2020 13:39:00,663,lv,Online,48,43,5,2,,https://redfieldandwiltonstrategies.com/latest-us-swing-states-voting-intention-23-27-september/,TRUE,
NY,Siena College,,9/27/2020,9/29/2020,10/2/2020 13:39:00,504,lv,Live Phone,51,29,22,3,,https://files.constantcontact.com/9c83fb30501/a5a33ee6-4149-4124-9959-f7b0dbaf4514.pdf,TRUE,
AZ,Suffolk University,,9/26/2020,9/30/2020,10/2/2020 13:39:00,500,lv,Live Phone,50,46,4,1,,https://www.suffolk.edu/-/media/suffolk/documents/academics/research-at-suffolk/suprc/polls/other-states/2020/10_2_2020_tables_pdftxt.pdf?la=en&hash=092D976850EB75E3AD343E1F122E02FA8C57CEFC,TRUE,
--,YouGov,Hofstra University,9/14/2020,9/22/2020,10/1/2020 20:28:00,2000,lv,Online,53,42,11,,,https://www.hofstra.edu/pdf/academics/colleges/hclas/gov-policy-international/kalikow-poll-0920.pdf,TRUE,
GA,Landmark Communications,,9/30/2020,9/30/2020,10/1/2020 20:28:00,500,lv,Live Phone,47,45,2,3,,https://www.wsbtv.com/news/local/atlanta/following-rocky-debate-biden-takes-lead-over-trump-latest-exclusive-channel-2-poll/LFMKYZZ2C5DVFE3J7HKNK2653U/,TRUE,
--,Change Research,CNBC,9/29/2020,9/30/2020,10/1/2020 14:03:00,925,lv,Online,54,41,13,,,https://www.cnbc.com/2020/10/01/biden-leads-polls-voters-say-he-beat-trump-in-first-debate.html,TRUE,
NC,ALG Research,,9/22/2020,9/28/2020,10/1/2020 14:03:00,822,rv,Live Phone,50,47,3,,,https://04acb8ce-8717-494a-8b55-56f4a82a107c.usrfiles.com/ugd/04acb8_121df148ec7b4053b105c08f0221a51a.pdf,TRUE,
SC,Data for Progress,,9/24/2020,9/28/2020,10/1/2020 11:09:00,824,lv,Online,43,47,-4,2,,https://filesforprogress.org/memos/2020-senate-project/week-2/dfp_psp_SC_Senate_week2.pdf,TRUE,
AZ,Data for Progress,,9/24/2020,9/28/2020,10/1/2020 11:09:00,808,lv,Online,49,45,4,1,,https://filesforprogress.org/memos/2020-senate-project/week-2/dfp_psp_AZ_Senate_week2.pdf,TRUE,
IA,Data for Progress,,9/24/2020,9/28/2020,10/1/2020 11:09:00,743,lv,Online,44,47,-3,2,,https://filesforprogress.org/memos/2020-senate-project/week-2/dfp_psp_IA_Senate_week2.pdf,TRUE,
ME,Data for Progress,,9/24/2020,9/28/2020,10/1/2020 11:09:00,718,lv,Online,53,39,14,,,https://filesforprogress.org/memos/2020-senate-project/week-2/dfp_psp_ME_Senate_Week2.pdf,TRUE,
PA,ALG Research,,8/26/2020,9/1/2020,10/1/2020 11:09:00,500,lv,Live Phone,50,44,6,,,https://www.progressivepolicy.org/wp-content/uploads/2020/09/ALG.PA_.OH_.energy-poll.09.30.20-.pdf,TRUE,
OH,ALG Research,,8/26/2020,9/1/2020,10/1/2020 11:09:00,500,lv,Live Phone,48,46,2,,,https://www.progressivepolicy.org/wp-content/uploads/2020/09/ALG.PA_.OH_.energy-poll.09.30.20-.pdf,TRUE,
OR,Civiqs,,9/26/2020,9/29/2020,9/30/2020 19:30:00,944,lv,Online,56,39,17,,,https://civiqs.com/documents/Civiqs_DailyKos_OR_banner_book_2020_09_7b4xvh.pdf,TRUE,
--,Ipsos,Reuters,9/25/2020,9/29/2020,9/30/2020 18:30:00,864,lv,Online,51,42,9,,,https://www.ipsos.com/en-us/reutersipsos-core-political-survey-general-election-tracker-09302020,TRUE,Wednesday release
IA,RABA Research,,9/23/2020,9/26/2020,9/30/2020 17:52:00,780,lv,Live Phone,48,46,2,,,https://who13.com/news/joe-biden-leads-president-trump-by-two-points-in-nexstar-iowa-2020-raba-research-poll/,TRUE,
KS,Civiqs,,9/26/2020,9/29/2020,9/30/2020 17:28:00,677,lv,Online,42,52,-10,,,https://civiqs.com/documents/Civiqs_DailyKos_KS_banner_book_2020_09_dw29u7.pdf,TRUE,
--,YouGov,Economist,9/27/2020,9/30/2020,9/30/2020 14:12:00,1350,lv,Online,50,42,8,2,6,https://docs.cdn.yougov.com/9k0tqsqgue/econTabReport.pdf,TRUE,
SC,Quinnipiac University,,9/23/2020,9/27/2020,9/30/2020 14:12:00,1123,lv,Online,47,48,-1,,,https://poll.qu.edu/south-carolina/release-detail?ReleaseID=3677,TRUE,
--,NORC,American Enterprise Institute,7/31/2020,8/11/2020,9/30/2020 13:30:00,4067,a,Live Phone,48,37,11,,,https://www.aei.org/wp-content/uploads/2020/09/American-National-Social-Network-Survey-Topline-Questionnaire.pdf,TRUE,
NH,University of New Hampshire,,9/24/2020,9/26/2020,9/30/2020 13:30:00,972,lv,Live Phone,53,44,9,,,https://scholars.unh.edu/survey_center_polls/610/,TRUE,
CA,SurveyUSA,,9/26/2020,9/28/2020,9/30/2020 13:30:00,558,lv,Online,59,32,27,,,http://www.surveyusa.com/client/PollReport.aspx?g=d15fdb0d-701d-495c-a67f-e17bfcc3bf92,TRUE,
--,Redfield & Wilton Strategies,,9/26/2020,9/27/2020,9/29/2020 21:02:00,3000,rv,Online,50,40,10,3,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-september-26-27/?utm_source=rss&utm_medium=rss&utm_campaign=latest-usa-voting-intention-september-26-27,TRUE,
GA,Civiqs,,9/26/2020,9/29/2020,9/29/2020 15:55:00,969,lv,Online,50,47,3,,,https://m.dailykos.com/stories/2020/9/29/1981768/-Warnock-surges-to-Georgia-Senate-special-election-lead-Dems-all-looking-good-Civiqs-poll,TRUE,
GA,Quinnipiac University,,9/23/2020,9/27/2020,9/29/2020 14:10:00,1125,lv,Live Phone,50,47,3,,,https://amgreatness.com/2020/09/29/trump-and-biden-tied-in-new-arizona-poll/,TRUE,
NC,YouGov,University of Massachusetts Lowell,9/18/2020,9/25/2020,9/29/2020 14:10:00,921,lv,Online,47,47,0,3,,https://www.uml.edu/docs/2020-NC-Sept-Topline_tcm18-330590.pdf,TRUE,
TX,YouGov,University of Massachusetts Lowell,9/18/2020,9/25/2020,9/29/2020 14:10:00,882,lv,Online,46,49,-3,3,,https://www.uml.edu/docs/2020-Texas-Sept-Topline_tcm18-330588.pdf,TRUE,
NH,YouGov,University of Massachusetts Lowell,9/18/2020,9/25/2020,9/29/2020 14:10:00,657,lv,Online,52,44,8,3,,https://www.uml.edu/docs/2020-NH-Sept-Topline_tcm18-330589.pdf,TRUE,
ND,DFM Research,,9/12/2020,9/16/2020,9/29/2020 14:10:00,500,lv,Live Phone,37,56,-19,,,https://twitter.com/Politics_Polls/status/1310967942977380353,TRUE,
--,Morning Consult,,9/25/2020,9/27/2020,9/29/2020 11:36:00,12965,lv,Online,51,44,7,,,https://morningconsult.com/2020-presidential-election-tracker/,TRUE,Monday data (tuesday release)
--,J.L. Partners,,9/14/2020,9/23/2020,9/29/2020 8:55:00,4053,lv,Online,51,41,10,,,https://www.jlpartners.co.uk/us-polling,TRUE,
PA,ABC News/Washington Post,,9/21/2020,9/26/2020,9/29/2020 0:02:00,567,lv,Live Phone,54,45,9,,,https://abcnews.go.com/Politics/pennsylvania-advantage-biden-big-boost-women-poll/story?id=73290218&cid=social_twitter_abcn,TRUE,
PA,NYT/Siena College,,9/25/2020,9/27/2020,9/28/2020 17:26:00,711,lv,Live Phone,49,40,9,11,,https://www.nytimes.com/2020/09/28/us/politics/supreme-court-pennsylvania-poll.html,TRUE,
AK,Harstad Strategic Research Inc.,,9/20/2020,9/23/2020,9/28/2020 17:26:00,602,lv,Live Phone,46,47,-1,,,https://twitter.com/Nat_Herz/status/1310661243410104320/photo/1,TRUE,
WI,Trafalgar Group,,9/22/2020,9/25/2020,9/28/2020 16:49:00,1189,lv,IVR,48,45,3,,,https://www.thetrafalgargroup.org/news/wi-pres-0920/,TRUE,
--,Monmouth University,,9/24/2020,9/27/2020,9/28/2020 14:13:00,809,lv,Live Phone,50,45,5,2,,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_092820/,TRUE,
NC,Meredith College,,9/18/2020,9/22/2020,9/28/2020 13:04:00,705,rv,Online,46,45,1,3,,https://www.meredith.edu/assets/images/content/Meredith_College_Poll_Report_September_2020.pdf,TRUE,
--,Echelon Insights,,9/19/2020,9/25/2020,9/28/2020 11:24:00,1018,lv,Live Phone,50,41,9,4,,http://echeloninsights.com/wp-content/uploads/Omnibus_September-2020_Release1.pdf,TRUE,
NV,"University of Nevada, Las Vegas Lee Business School ",,9/10/2020,9/25/2020,9/28/2020 11:24:00,641,lv,Online,46,41,5,,,https://busr.ag/polls,TRUE,
TX,Public Policy Polling,,9/25/2020,9/26/2020,9/28/2020 11:24:00,612,lv,IVR,48,48,0,,,https://twitter.com/EngelsAngle/status/1310534726579560448,TRUE,
CA,Redfield & Wilton Strategies,,9/19/2020,9/21/2020,9/27/2020 18:25:00,1775,lv,Online,62,28,34,2,,https://redfieldandwiltonstrategies.com/california-presidential-proposition-22-and-proposition-24-voting-intentions-19-21-september/,TRUE,
--,USC Dornsife,,9/13/2020,9/26/2020,9/27/2020 16:40:00,5257,lv,Online,51,42,9,,,https://election.usc.edu/,TRUE,Monday release
NC,YouGov,CBS News,9/22/2020,9/25/2020,9/27/2020 16:40:00,1213,lv,Online,48,46,2,,,https://www.cbsnews.com/news/trump-biden-opinion-poll-georgia-north-carolina-supreme-court-09-27-2020/,TRUE,
GA,YouGov,CBS News,9/22/2020,9/25/2020,9/27/2020 16:40:00,1164,lv,Online,46,47,-1,,,https://www.cbsnews.com/news/trump-biden-opinion-poll-georgia-north-carolina-supreme-court-09-27-2020/,TRUE,
SC,YouGov,CBS News,9/22/2020,9/25/2020,9/27/2020 16:40:00,1080,lv,Online,42,52,-10,,,https://www.cbsnews.com/news/trump-biden-opinion-poll-georgia-north-carolina-supreme-court-09-27-2020/,TRUE,
--,NYT/Siena College,,9/22/2020,9/24/2020,9/27/2020 16:40:00,950,lv,Live Phone,49,41,8,3,,https://int.nyt.com/data/documenttools/us0920-crosstabs/e9c96a16d8951e8c/full.pdf,TRUE,
MI,Marist College,NBC News,9/19/2020,9/23/2020,9/27/2020 16:40:00,799,lv,Live Phone,52,44,8,,,http://maristpoll.marist.edu/wp-content/uploads/2020/09/NBC-News_Marist-Poll_MI-Adults-Registered-Voters_NOS-and-Tables_202009251227.pdf,TRUE,
--,ABC News/Washington Post,,9/21/2020,9/24/2020,9/27/2020 16:40:00,739,lv,Live Phone,49,43,6,7,,https://www.langerresearch.com/wp-content/uploads/1217a2The2020Election.pdf,TRUE,
WI,Marist College,NBC News,9/20/2020,9/24/2020,9/27/2020 16:40:00,727,lv,Live Phone,54,44,10,,,http://maristpoll.marist.edu/wp-content/uploads/2020/09/NBC-News_Marist-Poll_WI-Likely-Voters-NOS-and-Tables_202009251238.pdf,TRUE,
MN,Mason-Dixon Polling & Strategy,,9/21/2020,9/23/2020,9/26/2020 15:18:00,800,lv,Live Phone,48,42,6,,,https://www.mprnews.org/story/2020/09/26/minnesota-poll-biden-holds-on-to-lead-over-trump,TRUE,
--,Redfield & Wilton Strategies,,9/22/2020,9/23/2020,9/25/2020 18:22:00,2500,lv,Online,50,41,9,3,,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-september-22-23/,TRUE,
--,Ipsos,Reuters,9/22/2020,9/24/2020,9/25/2020 18:22:00,934,lv,Online,50,41,9,,,https://www.westfargopioneer.com/news/government-and-politics/6679370-Sept.-22-24-polling-shows-Trump-Biden-divide-as-challenger-maintains-lead,TRUE,
--,Ipsos,Reuters,9/18/2020,9/22/2020,9/25/2020 18:22:00,889,lv,Online,50,42,8,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/2020_reuters_tracking_-_core_political_general_election_tracker_09_25_2020_.pdf,TRUE,
WI,Hart Research Associates,,9/17/2020,9/19/2020,9/25/2020 18:22:00,400,lv,Live Phone,51,44,7,,,https://www.hrc.org/parts/HRC-Poll-917-202020.pdf,TRUE,
PA,Hart Research Associates,,9/17/2020,9/19/2020,9/25/2020 18:22:00,400,lv,Live Phone,53,42,11,,,https://www.hrc.org/parts/HRC-Poll-917-202020.pdf,TRUE,
MI,Hart Research Associates,,9/17/2020,9/19/2020,9/25/2020 18:22:00,400,lv,Live Phone,50,45,5,,,https://www.hrc.org/parts/HRC-Poll-917-202020.pdf,TRUE,
FL,Hart Research Associates,,9/17/2020,9/19/2020,9/25/2020 18:22:00,400,lv,Live Phone,51,45,6,,,https://www.hrc.org/parts/HRC-Poll-917-202020.pdf,TRUE,
AZ,Hart Research Associates,,9/17/2020,9/19/2020,9/25/2020 18:22:00,400,lv,Live Phone,53,42,11,,,https://www.hrc.org/parts/HRC-Poll-917-202020.pdf,TRUE,
CA,"University of California, Berkeley",,9/5/2020,9/15/2020,9/25/2020 13:19:00,5942,lv,Online,67,28,39,,,https://www.kqed.org/news/11839535/poll-biden-leads-trump-by-39-points-in-california-ahead-in-every-region,TRUE,
PA,Trafalgar Group,,9/18/2020,9/21/2020,9/25/2020 13:19:00,1006,lv,IVR,48,46,2,,,https://d3n8a8pro7vhmx.cloudfront.net/restoration/pages/865/attachments/original/1600985448/Trafalagar_PA_Sept.pdf,TRUE,
ME,Colby College,,9/17/2020,9/23/2020,9/25/2020 13:19:00,847,lv,Live Phone,50,39,11,,,http://www.colby.edu/government/2020-polling/,TRUE,
NV,ALG Research,,9/15/2020,9/21/2020,9/25/2020 13:19:00,800,lv,Live Phone,47,43,4,,,https://thenevadaindependent.com/article/new-democratic-poll-shows-biden-up-4-in-nevada,TRUE,
MD,OpinionWorks,,9/4/2020,9/11/2020,9/25/2020 13:19:00,753,lv,Online,62,30,32,,,https://docs.google.com/viewer?a=v&pid=sites&srcid=b3BpbmlvbndvcmtzLmNvbXxjb21wMXxneDoxMjc5ZWQzMzNlZWQ5NmU3,TRUE,
